lines,line_num,name
 791路,途经路线[1条],石岩市场
 M516路,途经路线[1条],石岩建工基地
 高快巴士70 324路,途经路线[2条],石岩外环路公交场站
 B935路 B939路,途经路线[2条],石岩同富裕工业区微巴场站
 M257路 M310路 M335路 M355路 M472路 M535路 790路 B939路,途经路线[8条],石岩奋达科技
 M193路 M206路 M217路 M234路 325路 M335路 392路 M415路 M442路 M548路 M551路 M560路 882路,途经路线[13条],石岩径贝村
 791路,途经路线[1条],石岩佳华商场
 高峰专线104 高峰专线145 高峰专线166 767路 769路 790路 791路 B934路,途经路线[8条],石岩南康百货
 高峰专线144 316路 M516路 M551路 759路,途经路线[5条],石岩交警中队
 M257路 M310路 M335路 M355路 M472路 M535路 790路 B939路,途经路线[8条],石头山工业区
 深惠3线 M294路 M297路 B762路 963路,途经路线[5条],石夹路口
 高峰专线144 M233路 316路 M336路 B935路 B939路,途经路线[6条],石岩同富裕工业区
 M206路 M217路 M335路 392路 M442路 M548路,途经路线[6条],石岩东原天桥
 高峰专线145 高峰专线166 767路 769路 790路 B934路,途经路线[6条],石岩公学西
 大梅沙假日专线3 85路 B701路 B843路,途经路线[4条],石头围村口
 高峰专线107 M378路 M379路,途经路线[3条],石围
 高峰专线38,途经路线[1条],石凹路中
 4路 44路 362路 M389路 M390路 M454路 M499路 B820路 B957路,途经路线[9条],石厦南
 3号线(龙岗线) 7号线(西丽线),途经路线[2条],石厦
 4路 44路 M389路 M390路 B957路,途经路线[5条],石厦南总站
 34路 73路 M133路 M172路 202路 303路 M370路 M389路 M390路 B689路 B957路,途经路线[11条],石厦学校
 N19路 高峰专线79 M139路 M154路 M194路 M265路 M267路 M268路 303路 307路 308路 M311路 312路 369路 M379路 M403路 M414路 M415路 M421路 M428路 822路 836路 956路 980路,途经路线[24条],龙岗区第二人民医院
 M194路 M249路 M558路 B976路,途经路线[4条],航城大道
 N9路 45路 60路 324路 B821路 B912路,途经路线[6条],翰岭院
 B903路,途经路线[1条],航嘉工业园
 M558路 B976路,途经路线[2条],航城学校
 M558路,途经路线[1条],航城深业U中心
 M246路 B804路,途经路线[2条],航城街道办
 高快巴士34 高峰专线37 M281路 M282路 313路 317路 328路 334路 339路 M346路 M383路 M461路 M481路 M567路 B792路,途经路线[15条],黄金山公园
 M180路 M244路 M267路 M269路 M271路 M272路 M281路 M309路 M310路 M346路 M408路 M421路 M547路,途经路线[13条],红门
